create_date;link;id;name;regular_price;promotional_price;brand
2024-10-16T23:12:46Z;https://online.metro-cc.ru/products/50shth12g-kofe-zhokey-krepkiy-3v1-rastvorimyy;232416;Кофе Жокей крепкий растворимый 3в1 (12г x 50шт), 600г;629;449;ЖОКЕЙ
2024-10-16T23:12:50Z;https://online.metro-cc.ru/products/kofe-coffesso-crema-molotyy-250g;249893;Кофе Coffesso Crema молотый, 250г;369;299;COFFESSO
2024-10-16T23:12:52Z;https://online.metro-cc.ru/products/kofe-miscela-doro-espresso-gusto-classico-v-zernah-1kg;235415;Кофе Miscela D'Oro Espresso Gusto Classico в зернах, 1кг;2649;2299;MISCELA D'ORO
2024-10-16T23:12:55Z;https://online.metro-cc.ru/products/1kg-kofe-poetti-daily-classic-crema-v-zernah;218719;Кофе Poetti Daily Classic Crema в зернах, 1кг;1669;1149;POETTI
2024-10-16T23:12:57Z;https://online.metro-cc.ru/products/20shtx30g-kofe-torabica-creamy-latte-rastvorimyy;231689;Кофе Torabika Creamy Latte растворимый (30г x 20шт), 600г;369;339;TORABIKA
2024-10-16T23:13:00Z;https://online.metro-cc.ru/products/chernaya-karta-paketirovannyj-1kg;505974;Кофе Черная Карта в зернах, 1кг;1319;999;ЧЕРНАЯ КАРТА
2024-10-16T23:13:06Z;https://online.metro-cc.ru/products/150g-zhokej-irlandskie-slivki-mol;119132;Кофе Жокей Ирландские сливки молотый, 150г;339;229;ЖОКЕЙ
2024-10-16T23:13:08Z;https://online.metro-cc.ru/products/kofe-fresco-espresso-italiano-zernovoy-900g;245277;Кофе Fresco Espresso Italiano зерновой, 900г;1899;1199;FRESCO
2024-10-16T23:13:13Z;https://online.metro-cc.ru/products/v-zernah-illy-temnaya-obzharka-250g;611604;Кофе Illy темная обжарка в зернах, 250г;1649;1099;ILLY
2024-10-16T23:13:16Z;https://online.metro-cc.ru/products/kofe-coffesso-mokka-molotyy-250g;249895;Кофе Coffesso Mokka молотый, 250г;369;299;COFFESSO
2024-10-16T23:13:19Z;https://online.metro-cc.ru/products/aro-3v1-klassik-100h16g;632162;aro Кофе 3в1 классик (100 пакетиков x 16г), 1.6кг;;759;ARO
2024-10-16T23:13:22Z;https://online.metro-cc.ru/products/zhokej-sublimirovannyj-triumf-150g;459852;Кофе Жокей Триумф растворимый сублимированный, 150г;359;329;ЖОКЕЙ
2024-10-16T23:13:27Z;https://online.metro-cc.ru/products/6shth11g-kofe-verle-central-america-v-drip-paketah;228419;Кофе Verle Central America 6 дрип-пакетов с молотым кофе, 66г;;399;VERLE
2024-10-16T23:13:29Z;https://online.metro-cc.ru/products/kofe-monarch-crema-rastvorimyy-95g;230301;Кофе Monarch Crema растворимый, 95г;419;369;MONARCH
2024-10-16T23:13:32Z;https://online.metro-cc.ru/products/jardin-sublimirovannyj-colombia-medelin-150g;459849;Кофе Jardin Colombia Medelin растворимый сублимированный, 150г;669;369;JARDIN
2024-10-16T23:13:35Z;https://online.metro-cc.ru/products/250g-kofe-egoiste-truffle-molotyy;228292;Кофе Egoiste Truffle молотый, 250г;719;429;EGOISTE
2024-10-16T23:13:38Z;https://online.metro-cc.ru/products/8shth65g8shth15g-kofe-lebo-latte-macchiato-v-kapsulah;226346;Кофе в капсулах Lebo Latte macchiato для кофемашин Dolce Gusto 16шт, 172г;1019;599;LEBO
2024-10-16T23:13:40Z;https://online.metro-cc.ru/products/kofe-monarch-miligrano-rastvorimyy-s-molotym-70g;238558;Кофе Monarch Miligrano растворимый с молотым, 70г;329;309;MONARCH
2024-10-16T23:14:00Z;https://online.metro-cc.ru/products/art-624061;624061;Кофе Жокей классический в зернах, 900г;;1299;ЖОКЕЙ
2024-10-16T23:14:06Z;https://online.metro-cc.ru/products/320g-nescafe-classic-paket;124058;Кофе Нескафе Классик растворимый, 320г;649;549;НЕСКАФЕ
2024-10-16T23:14:09Z;https://online.metro-cc.ru/products/1kg-kofe-egoiste-captain-v-zernah;228285;Кофе Egoiste Captain в зернах, 1кг;2419;1699;EGOISTE
2024-10-16T23:14:15Z;https://online.metro-cc.ru/products/190g-kofe-jardin-gold-rastvorimyy-stb;228235;Кофе Jardin Gold растворимый, 190г;769;499;JARDIN
2024-10-16T23:14:17Z;https://online.metro-cc.ru/products/rioba-dlya-kofemashin-cremoso-11x5g;530966;RIOBA Кофе в капсулах Cremoso для кофемашин Nespresso 11шт, 55г;273;229;RIOBA
2024-10-16T23:14:20Z;https://online.metro-cc.ru/products/rioba-v-zernah-naturalnyj-zharenyj-gold-1kg;287769;RIOBA Кофе в зернах натуральный жареный 80:20, 1кг;1639;1499;RIOBA
2024-10-16T23:14:23Z;https://online.metro-cc.ru/products/kofe-v-kapsulah-coffesso-espresso-superiore-dlya-kofemashin-nespresso-10sht-50g;249931;Кофе в капсулах Coffesso Espresso Superiore для кофемашин Nespresso 10шт, 50г;529;249;COFFESSO
2024-10-16T23:14:26Z;https://online.metro-cc.ru/products/240g-kofe-jardin-colombia-medellin-rastvorimyy;232417;Кофе Jardin Colombia Medellin растворимый, 240г;989;599;JARDIN
2024-10-16T23:14:29Z;https://online.metro-cc.ru/products/8shth6g8shth15g-kofe-absolut-latte-karamel-kapsuly-dg;223118;Кофе в капсулах Absolut Drive Latte Macchiato with caramel для кофемашин Dolce Gusto 16шт, 168г;499;469;ABSOLUT
2024-10-16T23:14:36Z;https://online.metro-cc.ru/products/kofe-nescafe-gold-aroma-intens-rastvorimyj-poroshkoobraznyj-85-g;99542;Кофе Нескафе Голд Арома Интенсо растворимый, 85г;539;289;НЕСКАФЕ
2024-10-16T23:14:41Z;https://online.metro-cc.ru/products/lavazza-naturalnyj-zharenyj-oro-250g;32456;Кофе Lavazza Qualita Oro молотый, 250г;639;599;LAVAZZA
2024-10-16T23:14:44Z;https://online.metro-cc.ru/products/1kg-kofe-lebo-gold-v-zernah;226342;Кофе Lebo Gold в зернах, 1кг;2569;1499;LEBO
2024-10-16T23:14:46Z;https://online.metro-cc.ru/products/rioba-kofe-v-kapsulah-dolce-gusto-capuccino-8-portsiy-16-kapsul-192g-h-3-sht;243174;RIOBA Кофе в капсулах Dolce Gusto Capuccino 8 порций 16 капсул, 192г х 3 шт;;1527;RIOBA
2024-10-16T23:14:49Z;https://online.metro-cc.ru/products/kofe-monarch-original-rastvorimyy-270g;230305;Кофе Monarch Original растворимый, 270г;1069;849;MONARCH
2024-10-16T23:14:52Z;https://online.metro-cc.ru/products/rioba-dolce-gusto-espresso-16sht;8486;RIOBA Кофе в капсулах Dolce Gusto Espresso 16шт, 112г;509;409;RIOBA
2024-10-16T23:14:56Z;https://online.metro-cc.ru/products/kofe-nescafe-gold-rastvorimiy-sublimirovanniy-s-dobavleniem-naturalnogo-zharenogo-molotogo-kofe-900g;122743;Кофе Нескафе Голд растворимый сублимированный с добавлением натурального жареного молотого кофе, 900г;2179;1899;НЕСКАФЕ
2024-10-16T23:14:58Z;https://online.metro-cc.ru/products/ambassador-platinum-190g;463833;Кофе Ambassador Platinum растворимый, 190г;699;499;AMBASSADOR
2024-10-16T23:15:04Z;https://online.metro-cc.ru/products/20shtx255g-kofe-torabica-kapuchino-rastvorimyy;231688;Кофе Torabika Cappucсino растворимый (25.5г x 20шт), 510г;369;339;TORABIKA
2024-10-16T23:15:08Z;https://online.metro-cc.ru/products/kofe-coffesso-massimo-molotyy-250g;249892;Кофе Coffesso Massimo молотый, 250г;469;399;COFFESSO
2024-10-16T23:15:11Z;https://online.metro-cc.ru/products/nescafe-gold-steklo-95g-415027;415027;Кофе Нескафе Голд растворимый, 95г;329;299;НЕСКАФЕ
2024-10-16T23:15:14Z;https://online.metro-cc.ru/products/1kg-kofe-alta-roma-arabica-classico-zerno;259874;Кофе Alta Roma Classico зерновой, 1кг;2149;1499;ALTA ROMA
2024-10-16T23:15:16Z;https://online.metro-cc.ru/products/rioba-dlya-kofemashin-intenso-11x5g-120484;120484;RIOBA Кофе в капсулах Intenso для кофемашин Nespresso 11шт, 55г x 10 шт;;2730;RIOBA
